01/08/18 10.27;;;
Emas Laris Manis, Penjualan Antam Naik 293% Jadi Rp 12 T;;;
;;;
23/01/19 11.58;;;
2019, Antam Cari Jodoh untuk Smelter di Sorong;;;
;;;
24/05/21 10.33;;;
Ini yang Bikin Happy Ibu-ibu, Harga Emas Antam Konsisten Naik;;;
milik PT Aneka Tambang (Persero) Tbk (ANTM) atau yang dikenal dengan emas Antam konsisten naik seiring dengan apresiasi harga emas dunia di tengah anjloknya harga token kripto Bitcoin cs dan tertekannya dolar AS alias  . Ketika harga emas dunia cenderung naik, maka harga emas batangan Antam akan mengikuti. Di awal pekan harga emas batangan Antam naik Rp 1.000/gram dibanding penutupan pekan lalu.  Untuk 1 gram logam mulia Antam harganya menyentuh Rp 959.000. Emas Antam sendiri tersedia dalam berbagai ukuran. Mulai dari yang paling kecil 0,5 gram hingga 1 kilogram. Berikut ini adalah harga logam mulia Antam berdasarkan situs resmi Logammulia.com yang didasarkan pada harga dasarnya belum termasuk pajak untuk NPWP maupun non-NPWP.  Emas dan Bitcoin layaknya rival seperti   terhadap  . Jika harga aset kripto makin naik peluang emas tertekan makin terbuka. Apalagi emas sudah reli dalam satu bulan terakhir.  Namun harga emas yang sudah di atas rata-rata harga 200 hariannya (MA200) menjadi sinyal positif jika pergerakan harga berlanjut maka emas dunia bisa tembus US$ 2.000 dan emas Antam berpotensi ke Rp 1 juta per gram. ;;;
23/01/19 12.11;;;
Antam akan Belanjakan Rp 3 Triliun di 2019;;;
;;;
11/03/19 14.43;;;
Laba Antam Meroket 540,57%;;;
;;;
16/07/21 09.40;;;
Adu Kuat Emiten Nikel, Saat Sahamnya Diserbu Investor Lagi;;;
 Subsektor pertambangan nikel di Bursa Efek Indonesia (BEI) kedatangan 'anak baru', yakni PT PAM Mineral Tbk (NICL). Pam Mineral melakukan penawaran umum saham perdana (initial public offering/IPO) pada Jumat (9/7) pekan lalu. Emiten yang memiliki blok tambang dengan memakai nama-nama    --seperti BCL, Raisa, dan Syahrini--ini melepas sebanyak 2 miliar saham baru atau setara 20,7% dari modal ditempatkan dan disetor penuh perseroan, dengan harga IPO Rp 100 per saham, sehingga mengantongi Rp 200 miliar. Kedatangan NICL di bursa tentu saja sudah ditunggu oleh para pemain lama, seperti emiten pelat merah, PT Aneka Tambang (ANTM) alias Antam dan emiten yang 20% sahamnya dikuasai oleh Inalum, PT Vale Indonesia Tbk (INCO). Lantas, bagaimana   kinerja fundamental antara NICL, ANTM, dan INCO? Dalam tulisan ini   akan membahas perbandingan kinerja keuangan ketiga emiten tersebut menggunakan laporan keuangan (lapkeu) tahun 2020, mengingat berdasarkan prospektus perusahaan NICL baru melaporkan kinerja keuangan per akhir Desember tahun lalu. Apabila menilik data di atas, sepanjang 2020, ketiga emiten tersebut berhasil membukukan laba bersih, dengan Antam mencetak lonjakan laba tertinggi secara tahunan (year on year/yoy) di antara yang lainnya. Berdasarkan laporan keuangan perusahaan yang dipublikasikan, tercatat laba bersih ANTM tahun lalu mencapai Rp 1,14 triliun, melonjak 492,90% dibandingkan dengan laba bersih tahun sebelumnya yang senilai Rp 193,85 miliar. Meski laba 'meroket' pada 2020, kinerja pendapatan mengalami penurunan sebesar 16,34% secara yoy menjadi senilai Rp 27,37 triliun dari posisi 31 Desember 2019 yang senilai Rp 32,72 triliun. Catatan saja, kendati Antam juga masuk ke bisnis nikel, porsi penjualan emas masih menjadi andalan perusahaan. Pada tahun lalu penjualan emas berkontribusi sebesar 70,72% dari total penjualan perusahaan atau setara dengan Rp 19,36 triliun. Sementara, penjualan feronikel menyumbang 17,02% atau setara dengan Rp 4,66 triliun dan penjualan bijih nikel berkontribusi sebesar 6,83%. Apabila penjualan feronikel dan bijih nikel digabungkan, maka porsi penjualan keduanya sebesar 23,84%. Ini menunjukkan pendapatan konsolidasi Antam tidak mencerminkan   nikel perusahaan. Adapun per kuartal I 2021, laba bersih Antam senilai Rp 630,37 miliar. Capaian tersebut berkebalikan dari periode yang sama tahun sebelumnya rugi Rp 281,84 miliar. Kenaikan laba bersih tersebut selaras dengan naiknya pendapatan ANTM di 3 bulan pertama tahun ini sebesar Rp 9,21 triliun, naik 77% dari tahun sebelumnya Rp 5,20 triliun. Pada periode Januari-Maret 2021, penjualan terbesar perseroan masih disumbang oleh produk emas sebesar Rp 6,59 triliun, naik dari sebelumnya Rp 3,97 triliun. Feronikel tercatat sebesar Rp 1,23 triliun dari sebelumnya Rp 965,95 miliar, sementara pendapatan dari penjualan bijih nikel sebesar Rp 950 miliar. Seperti Antam, Vale Indonesia juga berhasil mencetak kinerja keuangan yang oke punya sepanjang tahun lalu di tengah penurunan pendapatan perusahaan. Laba bersih Vale Indonesia mencapai US$ 82,82 juta atau setara dengan Rp 1,16 triliun (kurs Rp 14.000/US$) di tahun pandemi 2020, naik 44,28% dibandingkan dengan tahun 2019 sebesar US$ 57,40 juta atau setara Rp 804 miliar. Namun, pendapatan usaha turun 2,2% menjadi US$ 764,74 juta atau setara dengan Rp 10,71 triliun per 31 Desember 2020 dari tahun sebelumnya US$ 782,01 juta atau setara Rp 11 triliun. Menurut keterangan dalam laporan keuangan perusahaan, semua penjualan perusahaan merupakan transaksi dengan pihak-pihak berelasi. Sepanjang tahun lalu, penjualan perusahaan terbesar disumbang oleh penjualan ke Vale Canada Limited (VCL) yang sebesar US$ 612,05 juta. Asal tahu saja, VCL adalah entitas entitas induk langsung Vale Indonesia. Sementara, entitas pengendali utama Vale Indonesia adalah Vale S.A., sebuah perusahaan yang didirikan berdasarkan hukum Republik Federal Brasil. Sementara, per triwulan pertama 2021, laba bersih INCO juga naik 16,36% dari US$ 28,96 juta pada 3 bulan pertama 2020 menjadi US$ 33,69 juta. Sejurus dengan itu, penjualan dan pendapatan usaha juga tumbuh 18,26% menjadi US$ 206,56 juta.;;;
13/01/22 14.25;;;
Saham 'Nyungsep', Analis: ANTM Ga Kenapa-kenapa, Kok!;;;
