saham,tanggal_berita,judul,isi
antm,,,"Dus, laba bersih per saham dasar dan dilusian ANTM naik menjadi Rp 60,98 dari sebelumnya Rp 26,23.  Kenaikan  ini tidak terlepas dari kenaikan kinerja penjualan bersih. Pada kuartal pertama 2022, ANTM membukukan pendapatan bersih senilai Rp 9,75 triliun atau naik 6% dibandingkan pada kuartal I-2021 yang sebesar Rp 9,21 triliun.    Sekretaris Perusahaan Aneka Tambang Syarif Faisal Alkadrie menjelaskan, penjualan bersih domestik menopang pendapatan ANTM. Sepanjang tiga bulan pertama tahun ini, ANTM membukukan penjualan bersih domestik senilai Rp 7,42 triliun atau 76% dari total penjualan bersih ANTM pada periode tersebut.  Berdasarkan segmentasi komoditas, penjualan  emas menjadi kontributor utama yakni sebesar Rp 5,88 triliun atau 60% terhadap pendapatan bersih ANTM. Disusul penjualan feronikel senilai Rp 1,86 triliun atau setara 19%, bijih nikel senilai Rp 1,62 triliun atau setara 17%, dan alumina senilai Rp 299,40 miliar atau 3% dari total pendapatan bersih ANTM.         “Pada tahun 2022, ANTM berfokus pada strategi untuk mengembangkan basis pelanggan di dalam negeri, terutama pemasaran produk emas, bijih nikel dan bauksit, seiring dengan pertumbuhan tingkat penyerapan pasar dalam negeri,” pungkas Syarif, Jumat (20/5).     Cek Berita dan Artikel yang lain di "
brpt,,," cenderung menguat terbatas,"" tulisnya dalam riset, Jumat (28/1).  Beberapa saham yang dapat diamati pada perdagangan hari ini :  1. PT Perusahaan Gas Negara Tbk ( )  Volume transaksi stabil di bawah rata-rata, indikator MACD positif menguat, indikator Stochastic netral konsolidasi, indikator RSI netral konsolidasi.  Trading range : Rp 1.290 – Rp 1.385  Rekomendasi :    2. PT Barito Pacific Tbk ( )  Volume transaksi stabil di bawah rata-rata, indikator MACD positif menguat, indikator Stochastic netral menguat menuju area  , indikator RSI netral menguat menuju area overbought.  Trading range : Rp 865 – Rp 920  Rekomendasi :   "
antm,,,"Mencatatkan harga tertinggi Rp 150 dan harga terendah Rp 142, harga saham BUMI ditutup naik Rp 4 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 148 per saham. Di lain sisi, harga offer terendah di Rp 149 per saham.  Kalau dihitung sejak 7 hari yang lalu (16 Agustus 2022), harga saham BUMI hari ini sudah naik 10.37 % dibanding harga saat itu (Rp 135).  Adapun sejak setahun lalu (24 Agustus 2021) harga saham BUMI sudah naik 181.13% dari harga saat itu (Rp 53).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BUMI mencapai Rp 586,30 miliar, sedangkan volume saham yang ditransaksikan mencapai 40.033.912 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 18, maka price to earning ratio (PER) saham ini 8,06 kali. Adapun price to book value-nya (PBV) -3,22 kali.      Dari penutupan Selasa (23/8), harga saham ANTM turun 0,99% dari Rp 2.030. Saham ANTM dibuka di bawah harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.020 per saham.  Mencatatkan harga tertinggi Rp 2.040 dan harga terendah Rp 2.000, harga saham ANTM ditutup turun Rp 20 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.000 per saham. Di lain sisi, harga offer terendah di Rp 2.010 per saham.    Bila dihitung sejak 7 hari yang lalu (16 Agustus 2022), harga saham ANTM hari ini turun -3.37 % dibanding harga saat itu (Rp 2.080).  Adapun sejak setahun lalu (24 Agustus 2021) harga saham ANTM turun -11.45% dari harga saat itu (Rp 2.270).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 110,10 miliar, sedangkan volume saham yang ditransaksikan mencapai 546.179 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,32 kali. Adapun price to book value-nya (PBV) 2,19 kali.  Cek Berita dan Artikel yang lain di "
brpt,,,"Menurut Agus, situasi ekonomi yang diharapkan dapat terus bertumbuh dengan baik akan berdampak positif pada permintaan produk petrokimia. ""Pada akhirnya berimbas pada naiknya harga produk petrokimia sehingga tingkat margin keuntungan akan tetap terjaga,"" kata Agus saat dihubungi Kontan.co.id, Kamis (3/3).    Agus pun berharap pemulihan ekonomi bisa berlanjut pada tahun ini. Meski pandemi covid-19 belum berakhir, pelaksanaan program vaksinasi dan pelonggaran di sejumlah negara akan berdampak positif untuk melanjutkan pertumbuhan ekonomi.  Di luar itu, ada beberapa hal yang perlu dicermati. Antara lain perkembangan situasi geopolitik dan adanya perubahan arah kebijakan moneter yang dapat berimbas pada percepatan pemulihan ekonomi.  ""Kami tetap optimis dan berhati-hati di tahun 2022 ini dengan terus fokus untuk mengoptimalkan operasional, menerapkan kebijakan finansial perusahaan yang prudent serta terus menjalankan rencana bisnis yang telah ditetapkan,"" imbuh Agus.  Tanpa membeberkan proyeksi terkini mengenai pendapatan dan laba BRPT pada 2022, Agus menegaskan bahwa di tahun ini BRPT mencanangkan target untuk mempertahankan operasional yang optimal di masing-masing anak usaha. Termasuk untuk fokus pada pelaksanaan proyek-proyek yang sedang dikerjakan sesuai dengan tahapan yang telah ditetapkan.  Sejalan dengan strategi bisnis yang telah ditetapkan, BRPT fokus untuk menyelesaikan beberapa proyek besar. Diantaranya pembangunan komplek petrokimia ke-2. Salah satu  penting proyek ini telah diselesaikan pada tahun lalu dengan masuknya mitra strategis Thai Oil serta perolehan sebagian pendanaan untuk proyek CAP 2.     ""Untuk tahun 2022, kami akan melanjutkan ke tahapan berikutnya yang berkonsentrasi pada persiapan teknis serta merampungkan pendanaan,"" ujar Agus.  Di bidang energi, Agus menyebut bahwa proyek Jawa 9 & 10 saat ini juga berjalan sesuai rencana. Di sektor panas bumi, terdapat pula proyek Salak Binary yang diharapkan selesai pada awal 2023 dengan peningkatan kapasitas sebesar kurang lebih 15 megawatt.  Untuk memuluskan rencana bisnis tahun ini, BRPT menganggarkan belanja modal (capex) sekitar US$ 250 juta. Penggunaan capex tersebut antara lain dialokasikan untuk pelaksanaan pembangunan komplek petrokimia ke-2 sesuai dengan tahapan pekerjaan yang direncanakan, pengeluaran belanja modal rutin untuk pabrik petrokimia, serta program  dari operasional  .   "
brpt,,,"Menurut Agus, situasi ekonomi yang diharapkan dapat terus bertumbuh dengan baik akan berdampak positif pada permintaan produk petrokimia. ""Pada akhirnya berimbas pada naiknya harga produk petrokimia sehingga tingkat margin keuntungan akan tetap terjaga,"" kata Agus saat dihubungi Kontan.co.id, Kamis (3/3).    Agus pun berharap pemulihan ekonomi bisa berlanjut pada tahun ini. Meski pandemi covid-19 belum berakhir, pelaksanaan program vaksinasi dan pelonggaran di sejumlah negara akan berdampak positif untuk melanjutkan pertumbuhan ekonomi.  Di luar itu, ada beberapa hal yang perlu dicermati. Antara lain perkembangan situasi geopolitik dan adanya perubahan arah kebijakan moneter yang dapat berimbas pada percepatan pemulihan ekonomi.  ""Kami tetap optimis dan berhati-hati di tahun 2022 ini dengan terus fokus untuk mengoptimalkan operasional, menerapkan kebijakan finansial perusahaan yang prudent serta terus menjalankan rencana bisnis yang telah ditetapkan,"" imbuh Agus.  Tanpa membeberkan proyeksi terkini mengenai pendapatan dan laba BRPT pada 2022, Agus menegaskan bahwa di tahun ini BRPT mencanangkan target untuk mempertahankan operasional yang optimal di masing-masing anak usaha. Termasuk untuk fokus pada pelaksanaan proyek-proyek yang sedang dikerjakan sesuai dengan tahapan yang telah ditetapkan.  Sejalan dengan strategi bisnis yang telah ditetapkan, BRPT fokus untuk menyelesaikan beberapa proyek besar. Diantaranya pembangunan komplek petrokimia ke-2. Salah satu  penting proyek ini telah diselesaikan pada tahun lalu dengan masuknya mitra strategis Thai Oil serta perolehan sebagian pendanaan untuk proyek CAP 2.     ""Untuk tahun 2022, kami akan melanjutkan ke tahapan berikutnya yang berkonsentrasi pada persiapan teknis serta merampungkan pendanaan,"" ujar Agus.  Di bidang energi, Agus menyebut bahwa proyek Jawa 9 & 10 saat ini juga berjalan sesuai rencana. Di sektor panas bumi, terdapat pula proyek Salak Binary yang diharapkan selesai pada awal 2023 dengan peningkatan kapasitas sebesar kurang lebih 15 megawatt.  Untuk memuluskan rencana bisnis tahun ini, BRPT menganggarkan belanja modal (capex) sekitar US$ 250 juta. Penggunaan capex tersebut antara lain dialokasikan untuk pelaksanaan pembangunan komplek petrokimia ke-2 sesuai dengan tahapan pekerjaan yang direncanakan, pengeluaran belanja modal rutin untuk pabrik petrokimia, serta program  dari operasional  .   "
brpt,,,", serta PT GoTo Gojek Tokopedia Tbk (GOTO) dengan rekomendasi trading  . Berikut adalah ulasannya:    Cek Berita dan Artikel yang lain di "
brpt,,,"Kenaikan pendapatan tersebut pada akhirnya ikut membuat  BRPT tumbuh subur. Tercatat, laba bersih BRPT pada 2021 mencapai US$ 109,11 juta, atau tumbuh 157% dari laba bersih di periode 2020 yang sebesar US$ 42,37 juta  Analis Kanaka Hita Solvera Andika Labora meyakini, kinerja positif BRPT pada tahun 2021 akan terjaga di tahun ini. Menurutnya, saat ini secara sentimen maupun fundamental, BRPT berada dalam posisi yang solid.    Dari bisnis geothermal lewat anak usahanya, yakni PT Star Energy misalnya. Bisnis ini prospeknya terus semakin membaik seiring meningkatnya kesadaran akan energi terbarukan. Selain itu, BRPT juga seharusnya diuntungkan oleh bisnis anak usaha lainnya, yakni PT Chandra Asri Petrochemicals Tbk ( ) seiring mulai menggeliatnya kembali sektor ini.  “Saat ini permintaan bahan baku plastik terus semakin meningkat di tengah naiknya mobilitas masyarakat karena kondisi pandemi Covid-19 yang berangsur membaik,” kata Andika kepada Kontan.co.id, Kamis (21/4).  Secara umum, dengan membaiknya aktivitas ekonomi pada tahun ini, Andika meyakini hal tersebut akan jadi sentimen utama yang akan berpeluang meningkatkan kinerja BRPT pada tahun ini.  Namun, dari sisi bisnis petrokimia menurutnya terdapat tantangan yang harus dihadapi BRPT, yakni masih tingginya harga minyak dunia. Pasalnya, tingginya harga minyak akan ikut mengangkat harga naphtha yang merupakan salah satu bahan baku utama produksi plastik. Padahal, di saat yang bersamaan permintaan terhadap plastik pada tahun ini mengalami kenaikan.         “Ini pada akhirnya dapat berdampak pada  perseroan,” imbuh Andika.  Saat ini, Andika merekomendasikan untuk  pada saham BRPT dengan level suport di Rp 825. Adapun, target harga yang ia pasang untuk BRPT adalah Rp 1.000 per saham.     Cek Berita dan Artikel yang lain di "
brpt,"Jumat, 04 Maret 2022 | 05:40 WIB ","Harga Minyak Naik, BRPT Tetap Ekspansif",
brpt,"Jumat, 22 April 2022 | 03:30 WIB ",Rapor Biru Barito Pacific (BRPT) di Tengah Tren Energi Hijau,"BRPT juga diuntungkan bisnis anak usaha lainnya, yakni PT Chandra Asri Petrochemicals Tbk (TPIA). ""Saat ini, permintaan bahan baku plastik semakin meningkat, di tengah naiknya mobilitas masyarakat karena kondisi pandemi Covid-19 yang berangsur membaik,"" kata Andika.     Analis Bahana Sekuritas Jason Chandra mengatakan, dengan porsi kepemilikan BRPT di TPIA sebesar 39%, maka pergerakan saham TPIA akan memberi pengaruh. Karena itu, pelaku pasar tengah menanti kejelasan mengenai keputusan akhir terkait final investment division untuk proyek komplek Chandra Asri Perkasa (CAP) 2 yang nilai investasinya US$ 5 miliar.   Menurut Jason, pasar ingin mengetahui detail sumber pendanaan proyek beserta dampaknya ke neraca keuangan TPIA. Selama belum ada pengumuman, ada potensi ketidakpastian.   Jason menyebut saham TPIA underperformed pada 2018, padahal siklus anggaran belanja modalnya tinggi. ""Dengan BRPT punya porsi 39% terhadap saham TPIA, maka sahamnya juga akan terpengaruh kondisi tersebut dan berada pada situasi yang sama,"" tulis Jason dalam riset pada 8 April 2022.  Kendati begitu, Jason melihat, BRPT seharusnya bisa membatasi efek tersebut. Alasannya, BRPT memiliki stabilitas baik pada bisnis geothermal. Menurut dia, keberadaan bisnis Star Energy diharapkan memberikan opsi diversifikasi dan stabilitas arus kas bagi BRPT, di tengah perkembangan pembangunan proyek CAP 2 ke depan.  Meski demikian, Jason saat ini belum memasukkan faktor Star Energy yang berencana mencari peluang pertumbuhan baru. Ia masih menunggu kejelasan lebih lanjut terkait proyek yang dapat muncul dari lelang energi terbarukan pemerintah di masa depan.     Head of Research Henan Putihrai Sekuritas Robertus Hardy meyakini pada tahun ini bisnis geothermal akan menjanjikan. Ini bisa mendongkrak kinerja BRPT.   Pasalnya, saat ini dan ke depannya, investasi berbasis ESG semakin meningkat. Ini bisa menjadi katalis positif untuk bisnis Star Energy.  Selain itu, Robertus melihat secara prospek, potensi energi terbarukan yang digarap Star Energy masih sangat besar dan menjanjikan. Terlebih, beberapa blok eksplorasi milik BRPT akan meningkatkan kapasitas pembangkit listrik, yang bisa mendorong kinerja.  Sementara dari lini bisnis petrokimia, Robertus meyakini BRPT diuntungkan peluang membaiknya permintaan bahan baku plastik dalam negeri. ""Tapi, bisnis ini dihadapkan pada tantangan kenaikan harga bahan baku naphtha, yang bisa menggerus profitabilitas. Akan tetapi, potensi penurunan tersebut seharusnya bisa diimbangi lini bisnis geothermal,"" ujar dia.   Tahun ini, Jason memprediksi BRPT bisa membukukan pendapatan sebesar US$ 3,3 miliar dengan laba bersih US$ 112 juta. Karena itu, dia merekomendasikan hold saham BRPT dengan target harga Rp 900 per saham.   Sedangkan Robertus menyarankan beli dengan target harga Rp 1.100 per saham. Andika merekomendasikan buy on weakness dengan target harga Rp 1.000.     "
brpt,,,"  Berikut merupakan jadwal pembayaran dividen BRPT  Sebagai gambaran, BRPT membukukan laba bersih senilai US$ 109,11 juta sepanjang 2021. Realisasi ini naik 157% dari laba bersih di periode 2020 sebesar US$ 42,37 juta. Ini sejalan dengan kenaikan pendapatan senilai US$ 3,15 miliar di 2021 atau naik 35,17% dari 2020 yang hanya US$ 2,33 miliar.           Cek Berita dan Artikel yang lain di "
